Temperature,Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
18.2,168,700,3,12.0,322,83,0,381,0.293,67.15,45.1,0.13,1021,1.8,42,5.300000000000001,102.25880382308412
18.6,127,641,1,10.8,127,800,0,641,0.293,60.370000000000005,50.0,0.13,1021,1.7000000000000002,37,5.0,773.8826243506121
20.200000000000003,87,340,0,12.2,87,666,0,340,0.269,60.2,67.67,0.13,1013,2.0,243,2.5,655.360271633927
23.9,138,460,3,16.0,225,175,0,314,0.277,61.29,59.16,0.13,1003,3.2,218,2.6,145.98069623742356
18.5,107,602,2,7.6,278,154,0,371,0.318,48.92,52.66,0.13,1013,2.0,281,2.0,175.40536167023572
19.200000000000003,89,683,0,9.3,89,903,0,683,0.294,52.61,48.82,0.13,1021,1.5,55,2.1,885.7766095761594
15.3,15,20,1,8.200000000000001,15,130,0,20,0.265,62.54,87.8,0.13,1023,2.4000000000000004,34,0.7000000000000001,98.65431132977687
20.6,105,632,0,12.6,105,850,0,632,0.277,60.21,51.71,0.13,1015,1.4,268,1.2000000000000002,845.4840085184255
17.6,92,383,0,10.7,92,709,0,383,0.295,64.05,65.75,0.13,1011,1.7000000000000002,288,1.7000000000000002,689.9490744895993
12.6,86,580,0,2.9000000000000004,86,884,0,580,0.333,51.77,56.07,0.13,1019,1.0,87,0.9,863.7895503874265
13.8,84,522,0,6.4,84,851,0,522,0.315,60.94,59.0,0.13,1013,1.2000000000000002,223,4.2,840.8214545454514
15.5,126,311,0,9.7,126,509,0,311,0.282,68.57000000000001,68.7,0.14,1020,1.8,46,2.8000000000000003,527.6123144443446
17.900000000000002,135,474,4,10.5,224,191,0,320,0.293,61.870000000000005,59.67,0.12,1012,2.2,227,5.1000000000000005,141.21533150479917
18.4,100,414,3,11.0,185,242,0,292,0.295,62.09,63.7,0.12,1006,1.9,238,1.4,193.2259862483529
15.0,139,400,0,11.3,139,580,0,400,0.306,78.47,63.3,0.13,1007,2.3000000000000003,215,1.4,575.2939849156676
15.1,77,269,7,9.9,111,12,0,115,0.293,70.89,72.19,0.13,1015,1.9,229,1.9,46.26846244769331
9.0,47,124,1,2.8000000000000003,47,486,0,124,0.297,65.18,80.79,0.12,1023,1.3,251,2.3000000000000003,428.81295448612514
14.7,85,423,1,8.0,85,782,0,423,0.294,64.08,64.39,0.11,1013,1.4,212,7.1000000000000005,758.2831270836036
15.0,72,257,0,9.1,72,640,0,257,0.29,67.8,73.19,0.11,1012,1.4,213,7.1000000000000005,646.558085039541
13.7,76,431,0,7.1000000000000005,76,822,0,431,0.317,64.4,64.38,0.11,1019,1.2000000000000002,212,5.1000000000000005,812.6099906121003
13.9,78,365,7,10.7,146,329,0,272,0.301,80.99,67.37,0.11,1017,1.6,217,4.3,298.61347882121413
14.3,75,366,0,10.7,75,762,0,366,0.275,79.02,67.55,0.11,1012,1.6,205,4.9,735.6747561321927
10.3,72,374,0,6.1000000000000005,72,788,0,374,0.279,75.04,67.47,0.12,1022,1.3,226,4.4,751.749948330281
7.300000000000001,15,17,1,5.2,15,77,0,17,0.409,86.47,88.15,0.11,1016,1.4,295,1.3,101.44932000811872
